 INFO [2018/09/26 09:45:15,562] main ContextLoader.initWebApplicationContext(line:285): Root WebApplicationContext: initialization started
DEBUG [2018/09/26 09:45:15,619] main StandardServletEnvironment.addLast(line:107): Adding [servletConfigInitParams] PropertySource with lowest search precedence
DEBUG [2018/09/26 09:45:15,620] main StandardServletEnvironment.addLast(line:107): Adding [servletContextInitParams] PropertySource with lowest search precedence
DEBUG [2018/09/26 09:45:15,623] main StandardServletEnvironment.addLast(line:107): Adding [jndiProperties] PropertySource with lowest search precedence
DEBUG [2018/09/26 09:45:15,624] main StandardServletEnvironment.addLast(line:107): Adding [systemProperties] PropertySource with lowest search precedence
DEBUG [2018/09/26 09:45:15,625] main StandardServletEnvironment.addLast(line:107): Adding [systemEnvironment] PropertySource with lowest search precedence
DEBUG [2018/09/26 09:45:15,626] main StandardServletEnvironment.<init>(line:126): Initialized StandardServletEnvironment with PropertySources [servletConfigInitParams,servletContextInitParams,jndiProperties,systemProperties,systemEnvironment]
DEBUG [2018/09/26 09:45:15,629] main StandardServletEnvironment.replace(line:172): Replacing [servletContextInitParams] PropertySource with [servletContextInitParams]
 INFO [2018/09/26 09:45:15,632] main XmlWebApplicationContext.prepareRefresh(line:510): Refreshing Root WebApplicationContext: startup date [Wed Sep 26 09:45:15 CST 2018]; root of context hierarchy
DEBUG [2018/09/26 09:45:15,660] main StandardEnvironment.addLast(line:107): Adding [systemProperties] PropertySource with lowest search precedence
DEBUG [2018/09/26 09:45:15,661] main StandardEnvironment.addLast(line:107): Adding [systemEnvironment] PropertySource with lowest search precedence
DEBUG [2018/09/26 09:45:15,661] main StandardEnvironment.<init>(line:126): Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
 INFO [2018/09/26 09:45:15,666] main XmlBeanDefinitionReader.loadBeanDefinitions(line:315): Loading XML bean definitions from class path resource [application-context.xml]
DEBUG [2018/09/26 09:45:15,668] main DefaultDocumentLoader.loadDocument(line:72): Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl]
DEBUG [2018/09/26 09:45:15,812] main PluggableSchemaResolver.getSchemaMappings(line:140): Loading schema mappings from [META-INF/spring.schemas]
